code,name,aliases
AADI,Adaro Andalan Indonesia,
ADRO,AlamTri Resources Indonesia,Adaro Energy
AKRA,AKR Corporindo,
AMMN,Amman Mineral,
ANTM,Aneka Tambang,Antam
ARTO,Bank Jago,
ASII,Astra International,
BBCA,Bank Central Asia,BCA
BBNI,Bank Negara Indonesia,BNI
BBRI,Bank Rakyat Indonesia,BRI
BBTN,Bank Tabungan Negara,BTN
BMRI,Bank Mandiri,
BREN,Barito Renewables Energy,
BRIS,Bank Syariah Indonesia,BSI
BRMS,Bumi Resources Minerals,
BRPT,Barito Pacific,
BUMI,Bumi Resources,
CPIN,Charoen Pokphand Indonesia,
CUAN,Petrindo Jaya Kreasi,
DCII,DCI Indonesia,
EMTK,Elang Mahkota Teknologi,Emtek
EXCL,XLSmart,XL Axiata
GOTO,GoTo Gojek Tokopedia,GoTo
ICBP,Indofood CBP,
INCO,Vale Indonesia,
INDF,Indofood Sukses Makmur,
INKP,Indah Kiat Pulp & Paper,
ISAT,Indosat,
ITMG,Indo Tambangraya Megah,
JPFA,Japfa Comfeed,
KLBF,Kalbe Farma,
MAPI,Mitra Adiperkasa,
MBMA,Merdeka Battery Materials,
MDKA,Merdeka Copper Gold,
MEDC,Medco Energi,
NCKL,Trimegah Bangun Persada,Harita Nickel
PANI,Pantai Indah Kapuk Dua,
PGAS,Perusahaan Gas Negara,PGN
PGEO,Pertamina Geothermal Energy,
PTBA,Bukit Asam,
SMGR,Semen Indonesia,
TLKM,Telkom Indonesia,Telkom
TOWR,Sarana Menara Nusantara,
TPIA,Chandra Asri,
UNTR,United Tractors,
UNVR,Unilever Indonesia,
